review_id,product,text,stars,sentiment,language
RV0001,phone case,"Bought this phone case: highly recommend, great quality.",5,positive,en
RV0002,desk lamp,"The desk lamp: late delivery, hard to use.",1,negative,en
RV0003,headphones,"THE HEADPHONES: FRIENDLY SUPPORT, ARRIVED EARLY.!!!",4,positive,en
RV0004,blender,"Bought this blender: excellent value, easy to use.",5,positive,en
RV0005,desk lamp,"The desk lamp: does the job, as described.",3,neutral,en
RV0006,phone case,"THIS PHONE CASE: VERY HAPPY, FRIENDLY SUPPORT.!!!",4,positive,en
RV0007,keyboard,"My new keyboard: as described, does the job.",3,neutral,en
RV0008,desk lamp,"THE DESK LAMP: DOES THE JOB, AVERAGE PRODUCT.!!!",3,neutral,en
RV0009,water bottle,"MY NEW WATER BOTTLE: AS DESCRIBED, OKAY FOR THE PRICE.!!!",3,neutral,en
RV0010,desk lamp,"  THIS DESK LAMP: EXCELLENT VALUE, FAST DELIVERY.!!!   <br> ",5,positive,en
RV0011,blender,"Bought this blender: arrived early, highly recommend.",4,positive,en
RV0012,phone case,كما هو موصوف مقبول مقابل السعر!,3,neutral,ar
RV0013,blender,"Bought this blender: highly recommend, friendly support.",5,positive,en
RV0014,kettle,كما هو موصوف منتج عادي!,3,neutral,ar
RV0015,keyboard,"My new keyboard: easy to use, arrived early.",4,positive,en
RV0016,keyboard,"This keyboard: does the job, okay for the price.",3,neutral,en
RV0017,backpack,"  My new backpack: very happy, works perfectly.   <br> ",4,positive,en
RV0018,desk lamp,"My new desk lamp: excellent value, very happy.",4,positive,en
RV0019,phone case,"MY NEW PHONE CASE: HIGHLY RECOMMEND, EXCELLENT VALUE.!!!",4,positive,en
RV0020,headphones,"MY NEW HEADPHONES: EASY TO USE, HIGHLY RECOMMEND.!!!",4,positive,en
RV0021,water bottle,"The water bottle: cheap material, poor quality.",1,negative,en
RV0022,water bottle,"My new water bottle: rude support, very disappointed.",2,negative,en
RV0023,phone case,"My new phone case: arrived early, works perfectly.",4,positive,en
RV0024,water bottle,"My new water bottle: great quality, excellent value.",5,positive,en
RV0025,keyboard,"Bought this keyboard: great quality, highly recommend.",4,positive,en
RV0026,desk lamp,"Bought this desk lamp: cheap material, hard to use.",2,negative,en
RV0027,water bottle,"  THE WATER BOTTLE: NOTHING SPECIAL, OKAY FOR THE PRICE.!!!   <br> ",3,neutral,en
RV0028,desk lamp,كما هو موصوف مقبول مقابل السعر!,3,neutral,ar
RV0029,headphones,"This headphones: great quality, friendly support.",4,positive,en
RV0030,backpack,"This backpack: very happy, highly recommend.",4,positive,en
RV0031,phone case,التوصيل سريع جداً سعر مناسب وأداء ممتاز!,4,positive,ar
RV0032,water bottle,"Bought this water bottle: does the job, nothing special.",3,neutral,en
RV0033,blender,"The blender: nothing special, as described.",3,neutral,en
RV0034,phone case,"Bought this phone case: excellent value, fast delivery.",5,positive,en
RV0035,keyboard,التوصيل متأخر كثيراً لا أنصح به!,1,negative,ar
RV0036,blender,"THIS BLENDER: ARRIVED EARLY, VERY HAPPY.!!!",5,positive,en
RV0037,desk lamp,"Bought this desk lamp: arrived early, highly recommend.",5,positive,en
